neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2025 ND 10	20077	State v. Greene	16 N.W.3d 188	3	HOLD	WINDOW:NO_WINDOW	guilty. We summarily affirm under N.D.R.App.P. 35.1(a)(7). See State v. Greene, 2025 ND 10, ¶ 6, 16 
2025 ND 130	20111	State v. Kennedy	23 N.W.3d 878	3	HOLD	WINDOW:NO_WINDOW	¶ 6, 982 N.W.2d 1, this Court does not review waived errors, State v. Kennedy, 2025 ND 130, ¶ 11, 23
2024 ND 218	19972	State v. Grensteiner	14 N.W.3d 587	3	HOLD	WINDOW:NO_WINDOW	hich, if believed, could lead to a verdict of not guilty. State v. Grensteiner, 2024 ND 218, ¶ 9, 14
2025 ND 148	20130	State v. Lee, et al.	25 N.W.3d 763	3	HOLD	WINDOW:NO_WINDOW	are to be understood in their ordinary sense. N.D.C.C. § 1-02-02; State v. Lee, 2025 ND 148, ¶ 13, 2
2025 ND 155	20138	Kraft v. State	25 N.W.3d 777	3	HOLD	WINDOW:NO_WINDOW	edure for a motion for summary judgment under N.D.R.Civ.P. 56.” Kraft v. State, 2025 ND 155, ¶ 8, 25
2025 ND 79	20290	Matter of Emelia Hirsch Trust	20 N.W.3d 154	3	HOLD	WINDOW:NO_WINDOW	"t determination if the court abused its discretion."" *Matter of Emelia Hirsch*, 2025 ND 79, ¶ 5, 20 "
2025 ND 162	20146	State v. Guthmiller	26 N.W.3d 548	3	HOLD	WINDOW:NO_WINDOW	which, if believed, could lead to a verdict of not guilty. State v. Guthmiller, 2025 ND 162, ¶ 7, 26
2025 ND 168	20152	Cache Private Capital Diversified Fund v	26 N.W.3d 688	3	HOLD	WINDOW:NO_WINDOW	isdiction over a defendant.” Cache Priv. Cap. Diversified Fund LLC v. Braddock, 2025 ND 168, ¶ 10, 2
2025 ND 161	20145	Anderson v. Krueger	26 N.W.3d 556	3	HOLD	WINDOW:NO_WINDOW	d we can determine, were raised to the district court. See Anderson v. Krueger, 2025 ND 161, ¶ 10, 2
2025 ND 127	20107	Interest of I.F.	23 N.W.3d 718	3	HOLD	CONFLICT:['23 N.W.2d 718', '23 N.W.3d 718'];WINDOW:NO_WINDOW	aise their children, that right is not absolute or unconditional. Int. of B.F., 2025 ND 127, ¶ 30, 2
2025 ND 193	20180	Sheila K. Boyda v. Joseph A. Boyda	27 N.W.3d 706	3	HOLD	WINDOW:NO_WINDOW	tensive decision-making authority of the court” to a therapist. Boyda v. Boyda, 2025 ND 193, ¶ 21, 2
1999 ND 210	18329	City of Valley City v. Stuart	606 N.W.2d 137	2	AUTO		s been presented before, and we again reject it. City of Valley City v. Stuart, 1999 ND 210, ¶ 1, 60
2004 ND 3	18491	State v. Heckelsmiller	676 N.W.2d 813	2	AUTO		istance of counsel in a post-conviction proceeding. *State v. Heckelsmiller,* 2004 ND 3, ¶ 2, 676 N.
2005 ND 27	18530	Clifford v. O'Donnell	694 N.W.2d 22	2	AUTO		t already addressed in his previous attempts for relief. Clifford v. O'Donnell, 2005 ND 27, 694 N.W.
2009 ND 169	18694	State v. Witzke	776 N.W.2d 232	2	AUTO		ntly a moot point.” We, therefore, decline to address it. *See State v. Witzke,*2009 ND 169, ¶ 4, 77
2007 ND 1	18592	Interest of J.H. (CONFIDENTIAL)	729 N.W.2d 334	2	AUTO	SHARED:['2007 ND 1', '2007 ND 34']	ties Comm’r,*2003 ND 62, ¶ 10 n. 2, 659 N.W.2d 869; *see also Interest of J.H.,*2007 ND 1, ¶ 1, 729 
2000 ND 142	18348	Comes v. State	618 N.W.2d 724	2	AUTO		[¶2] In 1996, Comes pled guilty to murder and robbery, and in Comes v. State, 2000 ND 142, 618 N.W.2
2015 ND 198	19076	State v. Morel	870 N.W.2d 26	2	AUTO	SHARED:['2015 ND 159', '2015 ND 160', '2015 ND 162', '2015 ND 166', '2015 ND 198']	have already considered and rejected her arguments. See, e.g., State v. Morel, 2015 ND 198, 870 N.W.
2015 ND 160	19064	Gaede v. State	870 N.W.2d 26	2	AUTO	SHARED:['2015 ND 159', '2015 ND 160', '2015 ND 162', '2015 ND 166', '2015 ND 198']	med denials of his applications for post-conviction relief. See Gaede v. State, 2015 ND 160, 870 N.W
2013 ND 41	18977	Gaede v. State	832 N.W.2d 334	2	AUTO	SHARED:['2013 ND 41', '2013 ND 42', '2013 ND 63']	viction relief. See Gaede v. State, 2015 ND 160, 870 N.W.2d 26; Gaede v. State, 2013 ND 41, 832 N.W.
2012 ND 50	18913	Addai v. State	809 N.W.2d 833	2	AUTO	SHARED:['2012 ND 42', '2012 ND 50', '2012 ND 6']	f counsel. This Court affirmed the denial of his application in Addai v. State, 2012 ND 50, 809 N.W.
2015 ND 51	19124	Nails v. US Bank (USA) N.A.	861 N.W.2d 172	2	AUTO	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	ware of the impossibility of success on appeal.’ ” Nails v. US Bank (USA) N.A., 2015 ND 51, ¶ 2, 861
2017 ND 12	19210	Chatman v. State	891 N.W.2d 778	2	AUTO	SHARED:['2017 ND 12', '2017 ND 40', '2017 ND 58']	tate knowingly failed to provide exculpatory evidence. *Chatman v. State* , 2017 ND 12 , ¶ 1, 891 N.
2018 ND 37	19304	Vacancy in Judgeship No. 4, SCJD	907 N.W.2d 40	2	HOLD	WINDOW:NO_WINDOW	cancy. See, *Vacancy in Judgeship No. 4, South Central Judicial District* , 2018 ND 37 , 907 N.W.2d 
2017 ND 58	19228	Follman v. Follman	891 N.W.2d 778	2	AUTO	SHARED:['2017 ND 12', '2017 ND 40', '2017 ND 58']	child to Michael Sorlie were not clearly erroneous. *Follman v. Follman* , 2017 ND 58 , ¶ 1, 891 N.W
2018 ND 22	19275	Little v. Stark County Sheriff	906 N.W.2d 333	2	HOLD	WINDOW:NO_WINDOW	d on appeal absent an abuse of discretion. *Little v. Stark Cty. Sheriff* , 2018 ND 22 , ¶¶ 8-9, 906
2018 ND 60	19330	State v. Isom	907 N.W.2d 340	2	HOLD	WINDOW:NO_WINDOW	"ion for ""any other felony offense"" in that statute. *See* *State v. Isom* , 2018 ND 60 , ¶¶ 10, 17, "
2019 ND 246	19392	State v. Tyler	933 N.W.2d 918	2	HOLD	WINDOW:NO_WINDOW	her proceedings would be productive of manifest injustice. Id.” State v. Tyler, 2019 ND 246, ¶ 5, 93
2018 ND 50	19319	Blackcloud v. State	907 N.W.2d 758	2	HOLD	WINDOW:NO_WINDOW	Civil Procedure govern post-conviction relief proceedings. Blackcloud v. State, 2018 ND 50, ¶ 5, 907
2019 ND 299	19445	Thomas v. Thomas	936 N.W.2d 109	2	AUTO		. Thomas v. Thomas No. 20190094 McEvers, Justice. [¶1] In Thomas v. Thomas, 2019 ND 299 , 936 N.W.2d
2019 ND 248	19394	Herman v. Herman, et al.	934 N.W.2d 874	2	AUTO		en interpreting a statute is to determine legislative intent. Herman v. Herman, 2019 ND 248, ¶ 8, 93
2019 ND 268	19414	James Broten v. Ralph Carter; Carter, Mc	935 N.W.2d 654	2	HOLD	WINDOW:NO_WINDOW	is a question of law that we review de novo on the record. Broten v. Carter, 2019 ND 268 , ¶ 7, 935 
2019 ND 257	19403	Estate of Blikre	934 N.W.2d 867	2	AUTO		erroneous standard of review under N.D.R.Civ.P. 52(a). In re Estate of Blikre, 2019 ND 257, ¶ 22, 93
2019 ND 291	19437	Stein v. State	936 N.W.2d 389	2	AUTO		"e case by addressing only one prong it is encouraged to do so."" Stein v. State, 2019 ND 291, ¶ 10, 9"
2018 ND 51	19320	State v. Rolfson	907 N.W.2d 780	2	HOLD	WINDOW:NO_WINDOW	olations are reviewed under the abuse of discretion standard. State v. Rolfson, 2018 ND 51, ¶ 6, 907
2019 ND 255	19401	Interest of K.V. (CONFIDENTIAL)	934 N.W.2d 879	2	AUTO		lleged damage. The word “shall” generally creates a mandatory duty. In re K.V., 2019 ND 255 , ¶ 16, 
2018 ND 16	19258	Matter of Gomez	906 N.W.2d 87	2	HOLD	WINDOW:NO_WINDOW	excluded from admission as hearsay pursuant to N.D.R.Ev. 807.” Matter of Gomez, 2018 ND 16, ¶ 15, 90
2020 ND 120	19475	State v. Washington	943 N.W.2d 757	2	AUTO		nd resolves conflicts in testimony in favor of affirmance. State v. Washington, 2020 ND 120, ¶ 7 , 9
2020 ND 123	19478	State v. Selzler (consolidated w/ 201903	943 N.W.2d 762	2	AUTO		he decision goes against the manifest weight of the evidence. State v. Selzler, 2020 ND 123, ¶ 7 , 9
2020 ND 203	19517	Onstad v. Jaeger, et al.	949 N.W.2d 214	2	AUTO		r an amended judgment is moot and we will not address it. See Onstad v. Jaeger, 2020 ND 203, ¶ 10 , 
2020 ND 161	19499	McCormick, et al. v. Fredericks	946 N.W.2d 728	2	AUTO		nly issues to be resolved are questions of law.” McCormick, Inc. v. Fredericks, 2020 ND 161, ¶ 29 , 
2020 ND 119	19473	State v. Soucy	943 N.W.2d 755	2	AUTO		icial notice of evidence under an abuse of discretion standard. State v. Soucy, 2020 ND 119, ¶ 4 , 9
2019 ND 237	19383	Whetsel v. State	933 N.W.2d 466	2	HOLD	WINDOW:NO_WINDOW	-conviction relief. On appeal, this Court summarily affirmed. Whetsel v. State, 2019 ND 237, 933 N.W
2020 ND 2	19513	Friesz v. State	937 N.W.2d 285	2	AUTO		d this Court summarily affirmed the denial of the application. Friesz v. State, 2020 ND 2, 937 N.W.2
2020 ND 116	19470	Gerving v. Gerving, et al.	943 N.W.2d 797	2	AUTO		istrict court’s original judgment, and this Court reversed. Gerving v. Gerving, 2020 ND 116 , 943 N.
2020 ND 266	19547	State v. Foote	952 N.W.2d 37	2	AUTO		sible, but same is not true if an officer orders these actions. State v. Foote, 2020 ND 266, ¶ 10 , 
2021 ND 37	19625	Friesz v. State	956 N.W.2d 338	2	AUTO		” (quoting Davis v. State, 2013 ND 34, ¶ 15 , 827 N.W.2d 8 )); Friesz v. State, 2021 ND 37, ¶ 6 , 95
2020 ND 217	19520	Ring v. NDDHS	950 N.W.2d 142	2	AUTO		ineligible for Medicaid. In Ring v. North Dakota Department of Human Services, 2020 ND 217, 950 N.W.
2020 ND 12	19474	Minn-Kota Ag Products, Inc. v. N.D. Publ	938 N.W.2d 118	2	AUTO		l and not often granted.” Minn-Kota Ag Prods., Inc. v. N.D. Pub. Serv. Comm’n, 2020 ND 12, ¶ 41 , 93
2018 ND 7	19333	State v. Evans	905 N.W.2d 738	2	HOLD	WINDOW:NO_WINDOW	n “as a result of the conduct on which such charge was based”); State v. Evans, 2018 ND 7 , 905 N.W.
2021 ND 28	19621	Whetsel v. State	955 N.W.2d 57	2	AUTO		to reply to the State’s answer; the district court erred.”). Whetsel v. State, 2021 ND 28, ¶ 11, 955
2021 ND 171	19603	Continental Resources v. Armstrong, et a	965 N.W.2d 57	2	AUTO		involved the parties to the action. See, e.g., Cont’l Res., Inc. v. Armstrong, 2021 ND 171, ¶ 35 , 9
2020 ND 260	19541	Discover Bank v. Hornbacher	952 N.W.2d 83	2	AUTO		o determine its legal effect is a question of law. Discover Bank v. Hornbacher, 2020 ND 260, ¶ 3 , 9
2021 ND 151	19596	Harold Ring v. North Dakota Department o	963 N.W.2d 255	2	AUTO		revent piecemeal and unnecessary appeals. Ring v. N.D. Dep’t of Human Servs., 2021 ND 151, ¶ 5 , 963
2021 ND 97	19636	WSI v. Felan, et al.	960 N.W.2d 805	2	AUTO		tutory fees and fines. See State by & through Workforce Safety & Ins. v. Felan, 2021 ND 97, ¶ 15 , 9
2019 ND 294	19440	WSI v. Salat, et al.	936 N.W.2d 91	2	AUTO		does not preclude appellate review. See N.D. Workforce Safety & Ins. v. Salat, 2019 ND 294, ¶ 11, 93
2021 ND 117	19586	Decker v. WSI	962 N.W.2d 388	2	AUTO		n jurisdictional facts are not in dispute. Decker v. Workforce Safety and Ins., 2021 ND 117, ¶ 14, 9
2022 ND 145	19658	Lovro v. City of Finley	978 N.W.2d 67	2	HOLD	WINDOW:NO_WINDOW	n issue by not providing adequate supporting argument. Lovro v. City of Finley, 2022 ND 145, ¶ 16 , 
2020 ND 206	19518	Suelzle v. NDDOT	949 N.W.2d 862	2	AUTO		ight of the evidence from the entire record.” Suelzle v. N.D. Dep’t of Transp., 2020 ND 206, ¶ 12, 9
2020 ND 223	19521	WSI v. Tolman	950 N.W.2d 144	2	AUTO		Act, N.D.C.C. ch. 28-32.” State by & through Workforce Safety & Ins. v. Tolman, 2020 ND 223, ¶ 5, 95
2021 ND 181	19606	Estate of Nelson	965 N.W.2d 407	2	AUTO		to a modest amount of $1,000 and double costs. Matter of the Estate of Nelson, 2021 ND 181, ¶ 3 , 96
2022 ND 98	19710	WSI v. Boechler, PC, et al.	974 N.W.2d 409	2	AUTO		ce another action.” State by & through Workforce Safety & Ins. v. Boechler, PC, 2022 ND 98, ¶ 7 , 97
2022 ND 161	19673	Dieterle v. Dieterle n/k/a Hansen, et al	978 N.W.2d 722	2	HOLD	WINDOW:NO_WINDOW	As such, “[a] contempt order is immediately appealable.” Dieterle v. Dieterle, 2022 ND 161 , ¶ 13, 9
2022 ND 3	19695	State v. Dargbeh	969 N.W.2d 144	2	AUTO		s evidentiary rulings under an abuse of discretion standard.” State v. Dargbeh, 2022 ND 3, ¶ 7, 969 
2023 ND 85	19832	E.R.J. v. T.L.B. (CONFIDENTIAL)	990 N.W.2d 570	2	AUTO		3.2(b) and N.D.R.Civ.P. 43(b)—operates to confer discretion. E.R.J. v. T.L.B., 2023 ND 85, ¶ 25 , 99
2022 ND 227	19691	Disciplinary Board v. Baird	985 N.W.2d 56	2	AUTO		was again disbarred effective December 8, 2022. See Disciplinary Bd. v. Baird, 2022 ND 227 , 985 N.W
2020 ND 150	19497	Zundel v. Zundel, et al.	945 N.W.2d 297	2	AUTO		n essential finding which would not otherwise have been made. Zundel v. Zundel, 2020 ND 150, ¶ 29, 9
2023 ND 137	19734	Interest of B.R. (CONFIDENTIAL) (consoli	993 N.W.2d 509	2	AUTO		20.3-20(1)(c)(2). C.D. does not challenge these findings. See Interest of B.R., 2023 ND 137, ¶ 2, 99
2024 ND 53	20025	Dahms v. Legacy Plumbing	5 N.W.3d 531	2	AUTO		on of law that we review de novo on the record.” Dahms v. Legacy Plumbing, LLC, 2024 ND 53, ¶ 4, 5 N
2022 ND 153	19665	State v. Netterville	978 N.W.2d 674	2	HOLD	WINDOW:NO_WINDOW	fter an initial sentence and before probation revocation. State v. Netterville, 2022 ND 153, ¶ 11, 9
2022 ND 213	19687	Provins v. WSI, et al.	982 N.W.2d 559	2	AUTO		ew of administrative agency decisions. Provins v. Workforce Safety & Ins. Fund, 2022 ND 213, ¶ 5, 98
2023 ND 243	19811	Everett v. State	1 N.W.3d 590	2	AUTO		e and governed by the North Dakota Rules of Civil Procedure.” Everett v. State, 2023 ND 243, ¶ 6, 1 
2024 ND 32	20002	NDIC v. Gould, et al.	3 N.W.3d 151	2	HOLD	WINDOW:NO_WINDOW	"not the product of a rational mental process."" Indus. Comm'n of N.D. v. Gould, 2024 ND 32, ¶ 16, 3 N"
2023 ND 112	19719	State v. Lonechild	992 N.W.2d 4	2	AUTO		uthorization for placement at the halfway house.” [¶12] In State v. Lonechild, 2023 ND 112, ¶ 8, 992
2024 ND 54	20026	State v. Thornton, et al.	5 N.W.3d 547	2	AUTO		te alternative remedy exists.’” N.D. Dep’t of Health and Human Servs. v. State, 2024 ND 54, ¶ 6, 5 N
2024 ND 65	20038	Kemmet v. Kemmet	5 N.W.3d 509	2	AUTO		with a definite and firm conviction a mistake has been made.” Kemmet v. Kemmet, 2024 ND 65, ¶ 5, 5 N
2024 ND 105	19847	State v. Reller	7 N.W.3d 252	2	HOLD	WINDOW:NO_WINDOW	issue of sufficiency of the evidence under obvious error. See State v. Reller, 2024 ND 105, ¶ 2, 7 N
2024 ND 96	20072	State v. Rangel	6 N.W.3d 860	2	AUTO		, and we review the court’s decision for abuse of discretion.” State v. Rangel, 2024 ND 96, ¶ 6, 6 N
2024 ND 80	20055	Zander, et al. v. Morsette	6 N.W.3d 623	2	AUTO		otion for new trial under the abuse of discretion standard. Zander v. Morsette, 2024 ND 80, ¶ 7, 6 N
2024 ND 107	19849	Meuchel v. MR Properties	7 N.W.3d 291	2	HOLD	WINDOW:NO_WINDOW	a question of law that is fully reviewable on appeal. Meuchel v. MR Props. LLC, 2024 ND 107, ¶ 10, 7
2024 ND 157	19904	Nordquist v. Alonge, et al.	10 N.W.3d 578	2	AUTO		and adequate remedy exists in the ordinary course of law.” Nordquist v. Alonge, 2024 ND 157, ¶ 10, 1
2022 ND 34	19697	State v. Willard	970 N.W.2d 197	2	AUTO		reasonable suspicion that the motorist has violated the law. State v. Willard, 2022 ND 34, ¶ 7, 970 
2023 ND 185	19771	Bd. of Trustees of The N.D. Public Emplo	996 N.W.2d 873	2	AUTO		al procedure. Bd. of Trs. of N.D. Pub. Emps. Ret. Sys. v. N.D. Legis. Assembly, 2023 ND 185, 996 N.W
2024 ND 166	19914	Ziemann v. Grosz	10 N.W.3d 801	2	AUTO		an essential element of a claim for breach of fiduciary duty. Ziemann v. Grosz, 2024 ND 166, ¶ 36, 1
2024 ND 209	19962	Bott v. Bott	14 N.W.3d 86	2	HOLD	WINDOW:NO_WINDOW	rational mental process leading to a reasoned determination.” Sanders v. Bott, 2024 ND 209, ¶ 13, 14
2023 ND 71	19826	Jahner v. NDDHS	989 N.W.2d 466	2	AUTO		on. N.D.C.C. § 28-32-49.” Jahner v. North Dakota Dep’t of Health & Hum. Servs., 2023 ND 71, ¶ 6, 989
2024 ND 93	20069	State v. Castleman	6 N.W.3d 850	2	AUTO		etermination, or if it misinterprets or misapplies the law. State v. Castleman, 2024 ND 93, ¶ 5, 6 N
2024 ND 83	20058	Interest of Skorick	6 N.W.3d 666	2	AUTO		alysis. In re P.F., 2006 ND 82, ¶ 21, 712 N.W.2d 610; see also Int. of Skorick, 2024 ND 83, ¶ 8, 6 N
2024 ND 222	19977	State v. Johnson	14 N.W.3d 597	2	HOLD	WINDOW:NO_WINDOW	State v. Thesing, 2024 ND 219, ¶ 16, 14 N.W.3d 574; see also State v. Johnson, 2024 ND 222, ¶ 9, 14 
2024 ND 183	19933	Liberty Petroleum Corp. v. NDIC, et al.	11 N.W.3d 851	2	HOLD	WINDOW:NO_WINDOW	"d total regulatory takings."" *Liberty Petroleum Corp. v. N.D.* Indus. Comm'n, 2024 ND 183, ¶ 17, 11 "
2024 ND 171	19920	Mitzel, et al. v. Vogel Law Firm, et al.	11 N.W.3d 717	2	HOLD	WINDOW:NO_WINDOW	"lationship"" under N.D.C.C. § 32-12.1-03(3)(g). *Mitzel v. Vogel L. Firm, Ltd.*, 2024 ND 171, ¶ 13, 1"
2024 ND 8	20054	Hoover v. NDDOT	2 N.W.3d 215	2	AUTO		to suspend or revoke a driver’s license. Hoover v. Dir., N.D. Dep’t of Transp., 2024 ND 8, ¶ 6, 2 N.
2025 ND 8	20291	Hollingsworth v. Hollingsworth	16 N.W.3d 221	2	HOLD	WINDOW:NO_WINDOW	mine whether a marriage is short or long term.” Hollingsworth v. Hollingsworth, 2025 ND 8, ¶ 16, 16 
2023 ND 99	19839	Interest of G.L.D. (CONFIDENTIAL)	991 N.W.2d 62	2	AUTO		dividuals under a modified clearly erroneous standard of review.” In re G.L.D., 2023 ND 99, ¶ 6, 991
2024 ND 118	19861	State v. Massey	8 N.W.3d 308	2	AUTO		ed misconduct. See State v. Smith, 2023 ND 82, 989 N.W.2d 490, State v. Massey, 2024 ND 118, 8 N.W.3
2025 ND 98	20311	State v. Lewellyn	21 N.W.3d 108	2	HOLD	WINDOW:NO_WINDOW	ourt's conclusion the request and motions were untimely. See State v. Lewellyn, 2025 ND 98, ¶ 13, 21
2024 ND 224	19979	Olson v. Olson	14 N.W.3d 603	2	HOLD	WINDOW:NO_WINDOW	. Innovis Health, LLC, 2024 ND 169, ¶ 22, 11 N.W.3d 1; see also Olson v. Olson, 2024 ND 224, ¶ 34, 1
2024 ND 236	19992	City of Fargo v. State	14 N.W.3d 902	2	HOLD	WINDOW:NO_WINDOW	who may have reasons for limiting their arguments. See City of Fargo v. State, 2024 ND 236, ¶ 12, 14
2024 ND 139	19884	State v. Adams	10 N.W.3d 87	2	AUTO		appeal, the defendant does not preserve that issue for review.” State v. Adams, 2024 ND 139, ¶ 25, 1
2025 ND 111	20090	Gum v. Muddy Boyz Drywall	22 N.W.3d 720	2	HOLD	WINDOW:NO_WINDOW	al in this State is governed solely by statute.” Gum v. Muddy Boyz Drywall LLC, 2025 ND 111, ¶ 4, 22
2023 ND 117	19721	Laducer v. Laducer, et al.	992 N.W.2d 520	2	AUTO		transcript of any evidentiary hearing held in the matter.” Laducer v. Laducer, 2023 ND 117, ¶ 2, 992
2025 ND 51	20260	Hersha v. State	18 N.W.3d 632	2	HOLD	WINDOW:NO_WINDOW	plea; we review the court’s decision for abuse of discretion.” Hersha v. State, 2025 ND 51, ¶ 2, 18 
2025 ND 96	20309	Van Beek v. Van Beek, et al.	21 N.W.3d 79	2	HOLD	WINDOW:NO_WINDOW	s of the weight of the evidence is not clearly erroneous. Van Beek v. Van Beek, 2025 ND 96, ¶¶ 28-29
2025 ND 135	20116	Axvig, et al. v. Czajkowski, et al.	24 N.W.3d 79	2	HOLD	WINDOW:NO_WINDOW	cellation under N.D.C.C. ch. 32-18; or 2) a court action.” Axvig v. Czajkowski, 2025 ND 135, ¶ 14, 2
2024 ND 232	19988	Sanderson v. Agotness	15 N.W.3d 1	2	HOLD	WINDOW:NO_WINDOW	n ordering Robert Williamson to pay attorney’s fees. See Sanderson v. Agotness, 2024 ND 232, ¶ 11, 1
2022 ND 141	19654	Interest of Skorick	977 N.W.2d 697	2	AUTO		urt’s reliance on an expert report not offered into evidence); Int. of Skorick, 2022 ND 141, 977 N.W
2025 ND 46	20254	State v. Williams	17 N.W.3d 820	2	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	district court are reviewed by this Court for obvious error. State v. Williams, 2025 ND 46, ¶ 16, 17
2025 ND 147	20129	Northwest Landowners Association, et al.	25 N.W.3d 220	2	HOLD	WINDOW:NO_WINDOW	ot necessary to the determination of an appeal.” Nw. Landowners Ass’n v. State, 2025 ND 147, ¶ 33, 2
2025 ND 65	20275	State v. Littleghost	18 N.W.3d 858	2	HOLD	WINDOW:NO_WINDOW	P. 52(b) because he did not object in district court. See State v. Littleghost, 2025 ND 65, ¶ 5, 18 
2025 ND 146	20128	Garaas, et al. v. Continental Resources,	25 N.W.3d 505	2	HOLD	WINDOW:NO_WINDOW	e also Garaas as Co-Trs. of Barbara Susan Garaas Fam. Tr. v. Cont’l Res., Inc., 2025 ND 146, ¶ 32, 2
2025 ND 30	20237	State v. Janachovsky	17 N.W.3d 531	2	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	know the specific detailed consequences of invoking it.” State v. Janachovsky, 2025 ND 30, ¶ 8, 17 N
2025 ND 91	20304	State v. Taylor	20 N.W.3d 678	2	HOLD	WINDOW:NO_WINDOW	mental process or if it misinterprets or misapplies the law.” State v. Taylor, 2025 ND 91, ¶ 9, 20 N
2025 ND 152	20135	Campbell v. State	25 N.W.3d 781	2	HOLD	WINDOW:NO_WINDOW	lation of the right to a public trial is a structural error. Campbell v. State, 2025 ND 152, ¶ 23, 2
2024 ND 33	20003	State v. Rinde	3 N.W.3d 165	2	HOLD	CONFLICT:['3 N.W.2d 165', '3 N.W.3d 165'];WINDOW:NO_WINDOW	permissible factor in determining the severity of the sentence. State v. Rinde, 2024 ND 33, ¶ 6, 3 N
2023 ND 111	19718	Glasser v. State	992 N.W.2d 7	2	AUTO		for allowing otherwise prohibited consecutive sentences. See Glasser v. State, 2023 ND 111, ¶ 18, 99
2025 ND 121	20101	Toppenberg v. Toppenberg, et al.	23 N.W.3d 751	2	HOLD	WINDOW:NO_WINDOW	early erroneous standard, we do not reweigh evidence. Toppenberg v. Toppenberg, 2025 ND 121, ¶ 10, 2
2025 ND 105	20083	Weber v. Pennington	22 N.W.3d 726	2	HOLD	WINDOW:NO_WINDOW	rial change in circumstances of the child or the parties.” Weber v. Pennington, 2025 ND 105, ¶ 12, 2
2024 ND 217	19971	State v. Gothberg	14 N.W.3d 578	2	HOLD	WINDOW:NO_WINDOW	finding of fact meets a legal standard is a question of law. State v. Gothberg, 2024 ND 217, ¶ 10, 1
2020 ND 232	19526	Jundt v. NDDOT	951 N.W.2d 243	2	AUTO		ent advisory no longer applies when the individual consents to a chemical test. 2020 ND 232, ¶ 16, 9
2025 ND 84	20296	Skobodzinski v. NDDOT	20 N.W.3d 105	2	HOLD	WINDOW:NO_WINDOW	y later agreeing to take the same test.” Skobodzinski v. N.D. Dep't of Transp., 2025 ND 84, ¶ 22, 20
2022 ND 109	19639	In the Matter of the Adoption of K.M.T. 	974 N.W.2d 641	2	AUTO		rminate parental rights in an adoption case under other law[.]” Int. of K.M.T., 2022 ND 109, ¶ 18, 9
2025 ND 157	20140	Interest of K.I.B.	26 N.W.3d 117	2	HOLD	WINDOW:NO_WINDOW	Watts, 2023 ND 47, ¶ 25; Glaser, 2015 ND 31, ¶ 18; see also Interest of K.I.B., 2025 ND 157, ¶ 13, 2
2024 ND 229	19984	State v. Werner	15 N.W.3d 6	2	HOLD	WINDOW:NO_WINDOW	nal judgment to accurately reflect the proceedings. See, e.g., State v. Werner, 2024 ND 229, ¶ 3, 15
2025 ND 25	20231	Berger v. Repnow	16 N.W.3d 452	2	HOLD	WINDOW:NO_WINDOW	argument that he is owed $12,685.50 based on his accounting. Berger v. Repnow, 2025 ND 25, ¶ 13, 16 
2025 ND 66	20276	Williamson v. State	18 N.W.3d 921	2	HOLD	WINDOW:NO_WINDOW	Heyen v. State, 2001 ND 126, ¶ 11, 630 N.W.2d 56; see also Williamson v. State, 2025 ND 66, ¶ 12, 18
2025 ND 116	20095	Roth, et al. v. Meyer, et al.	23 N.W.3d 131	2	HOLD	WINDOW:NO_WINDOW	and, the district court must follow directions from this Court.” Roth v. Meyer, 2025 ND 116, ¶ 12, 2
2025 ND 100	20078	Holm v. Holm	21 N.W.3d 96	2	HOLD	WINDOW:NO_WINDOW	"cionable manner, or when it misinterprets or misapplies the law."" Holm v. Holm, 2025 ND 100, ¶ 7, 21"
2025 ND 18	20165	Davis, et al. v. Romanyshyn	16 N.W.3d 464	2	HOLD	WINDOW:NO_WINDOW	inadmissible hearsay unless subject to an exception. *See Davis v. Romanyshyn*, 2025 ND 18, ¶ 9, 16 
2025 ND 129	20109	Carvalho v. Carvalho, et al.	23 N.W.3d 890	2	HOLD	WINDOW:NO_WINDOW	egations are not enough to establish a prima facie case.” Carvalho v. Carvalho, 2025 ND 129, ¶ 10, 2
2025 ND 64	20274	Killoran, et al. v. Kaler	18 N.W.3d 867	2	HOLD	WINDOW:NO_WINDOW	re are no provable facts entitling the plaintiff to relief.” Killoran v. Kaler, 2025 ND 64, ¶ 10, 18
2024 ND 225	19980	In the Matter of the Application for Dis	003 N.W.3d 122	2	HOLD	WINDOW:NO_WINDOW	d. v. Spencer, 2024 ND 28, 3 N.W.3d 122; see also, Disciplinary Bd. v. Spencer, 2024 ND 225, 003 N.W
2025 ND 49	20257	Disciplinary Board v. Spencer	17 N.W.3d 846	2	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	d and he was suspended for six months and one day. Disciplinary Bd. v. Spencer, 2025 ND 49, 17 N.W.3
2025 ND 43	20251	Edwards v. State	17 N.W.3d 542	2	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	Peters-Riemers v. Riemers, 2001 ND 62, ¶ 23, 624 N.W.2d 83)); Edwards v. State, 2025 ND 43, ¶ 14, 17
