citation,version_id,prev,next,context
N.D.C.C. § 57-02-02,24887,of,and," to designate the township, range, section, or part of section, and the number of a lot or block. 2. Whenever "
N.D.C.C. § 57-02-02,24887,with,numbers," and whenever said letters are used in connection with section numbers to designate land descriptions, and in "
N.D.C.C. § 57-02-08,24894,in,provisions,"is subsection, ""homestead"" has the meaning provided in section provisions of this subsection whether or not th"
N.D.C.C. § 57-02-08.3,24897,in,person's, qualified for the property tax credit provided for in section person's homestead for the portion of any speci
N.D.C.C. § 57-02-08.5,24899,under,,de under this section unless property was exempt under section
N.D.C.C. § 57-02-08.10,24904,under,c, which applicants qualify for the credit allowed under section c. Provide to each county auditor: (1) A copy o
N.D.C.C. § 57-02-27.2,24936,under,commissioner,ach quarter from the state aid distribution fund under section commissioner certifies to the state treasurer t
N.D.C.C. § 57-05-05,24969,of,and,"rights of way and sidetracks, showing on which side of section and other lines its property is located in each"
N.D.C.C. § 57-06-17.2,24997,in,pipeline,"ayments, carbon dioxide pipeline property described in section pipeline valuations are certified. The county a"
N.D.C.C. § 57-15-10,25088,with,taxes,or more of the electors of the city in accordance with section Taxes levied for a capital improvements fund ap
N.D.C.C. § 57-15-10,25088,under,until,"tirement of bonds issued before January 1, 2015, under section until the bonds are retired. 16. Levies dedicat"
N.D.C.C. § 57-15-16,25105,to,,on must be allocated by the governing body pursuant to section
N.D.C.C. § 57-15-50,25172,to,, levied under this section and distributed pursuant to section
N.D.C.C. § 57-20-21.1,25228,in,delinquent,he discounts applicable to payment of taxes set out in section delinquent.
N.D.C.C. § 57-28-12,25316,under,,taxing district may appeal to the district court under section
N.D.C.C. § 57-33.2-19,25375,of,taxing,", the capacity tax in subdivision a of subsection 1 of section taxing district. The electricity output for the"
N.D.C.C. § 57-38-01.3,25526,under,i,ualified real estate investment trust subsidiary under subsection i of section 856 of the Internal Revenue Cod
N.D.C.C. § 57-38-01.21,25544,by,aggregate,ual is allowed a tax credit against the tax imposed by section aggregate amount of the charitable gift portion
N.D.C.C. § 57-38-01.21,25544,by,equal,ual is allowed a tax credit against the tax imposed by section equal to forty percent of the charitable gift. 
N.D.C.C. § 57-38-01.21,25544,by,taxable,m their share of the credit against the tax imposed by section taxable year in which the taxable year of the e
N.D.C.C. § 57-38-01.22,25545,under,green,led to a credit against tax liability determined under section green diesel fuel of at least five percent blen
N.D.C.C. § 57-38-30.3,25610,under,federal,amount of the contribution upon which the credit under section federal taxable income. k. Reduced by the amoun
N.D.C.C. § 57-38-30.3,25610,under,,s only if the employer is entitled to the credit under section
N.D.C.C. § 57-38-60,25658,under,, employees during the preceding calendar quarter under section
N.D.C.C. § 57-39.2-04,25702,under,,strict that has filed a certificate of existence under section
N.D.C.C. § 57-39.2-26.4,25760,under,a,f tangible property eligible for a tax exemption under section a. The county or city is levying a local sales 
N.D.C.C. § 57-39.4-33,25802,of,on,igning taxing jurisdictions under subsection 7 or 8 of section on the database provided by the member state un
N.D.C.C. § 57-40.2-06,25840,to,,gned to the contractor by the commissioner pursuant to section
N.D.C.C. § 57-40.2-07,25841,in,,n or to pay the tax imposed must be that prescribed in section
N.D.C.C. § 57-40.3-04,25861,under,imposed, that the lessor has paid either the tax imposed under section imposed by chapter 57-40.2. 7. Any motor vehicl
N.D.C.C. § 57-40.3-04,25861,of,, transportation under subdivision o of subsection 2 of section
N.D.C.C. § 57-40.6-03,25891,under,under,rovisions of section 57-40.6-14. The fee imposed under section under section 57-40.6-02.
N.D.C.C. § 57-43.2-02.3,25974,by,, consumer and is subject instead to the tax imposed by section
N.D.C.C. § 57-43.2-03,25975,by,, consumer and is subject instead to the tax imposed by section
N.D.C.C. § 57-43.2-19,26008,under,must, collected on sales of diesel fuel to a railroad under section must be transferred to the state treasurer who 
N.D.C.C. § 57-45-05,26070,under,,s as provided in this title may file a complaint under section
N.D.C.C. § 57-51.1-07.7,26102,of,start,f less than five million dollars under subsection 2 of section start of each biennium. 6. From the funding ide
N.D.C.C. § 57-51.1-07.8,26103,of,start,"f less than five million dollars under subsection 2 of section start of each biennium. c. ""Road and bridge inf"
N.D.C.C. § 57-55-01,26144,in,subsections,"length, and includes a manufactured home as defined in section subsections 1 through 3 of section 39-05-35, as"
N.D.C.C. § 57-55-01.2,26146,under,for,chased a mobile home and is applying for a title under section for the mobile home. The director of the depart
N.D.C.C. § 57-55-10,26156,of,d, spouse who meets the requirements of subsection 20 of section d. If it is owned and used as living quarters b
N.D.C.C. § 57-60-02,26179,in,,d entirely to the county for allocation as provided in section
N.D.C.C. § 57-60-02.2,26182,under,tax,empt from eighty-five percent of the tax imposed under section tax imposed under section 57-60-02 multiplied b
N.D.C.C. § 57-61-01.4,26201,of,a,ty processing facilities as defined in subsection 4 of section a political subdivision of the state. No state 
N.D.C.C. § 57-61-01.7,26204,under,mined,"o seventy percent of the severance taxes imposed under section mined. The board of county commissioners, by re"
N.D.C.C. § 58-02-23,26283,in,,on appeal in accordance with the procedure provided in section
N.D.C.C. § 59-04.2-25,26464,of,f,"a policy of insurance not described in subsection 4 of section f. Estate, inheritance, and other transfer taxe"
N.D.C.C. § 6-01-04.3,26650,by,g,g of inaccurate or misleading call reports required by section g. Violations of loan limitations under subsect
N.D.C.C. § 6-05-04.1,26819,in,making,he department of financial institutions as provided in section making any transfer or deposit of money or prop
N.D.C.C. § 6-05-15.2,26834,of,common,"with the provisions of this section, the provisions of section common trust funds under this section."
N.D.C.C. § 6-06.2-09,26865,in,commissioner,ommissioner an organization certificate as required in section commissioner. c. Obtain approval from the state
N.D.C.C. § 6-07.2-01,26943,under,n,failed to pay the fees charged by the department under section n. The institution's board of directors request
N.D.C.C. § 6-09-54,27253,to,behalf,program. The fund must be audited annually pursuant to section behalf of the fund must be paid from the fund.
N.D.C.C. § 61-02.1-04,27375,to,legislative,st on bonds issued for projects authorized pursuant to section legislative assembly from the resources trust f
N.D.C.C. § 61-02-14.4,27402,under,available,yover project included in a report be terminated under section available for projects with the same general pu
N.D.C.C. § 61-04.1-11,27543,under,expire,professional weather modification license issued under section expire on December thirty-first of the year of 
N.D.C.C. § 61-04-05.1,27588,of,,he department of water resources under subsection 5 of section
N.D.C.C. § 61-06-21,27670,by,meetings,of each year. The board by rule or bylaw authorized by section meetings as it shall deem needed. The board als
N.D.C.C. § 61-07-14,27687,of,not,States - Provisions of section not a limitation. Any irrigation district organ
N.D.C.C. § 61-12-40,27862,in,," to the date of the sale of said bonds, as provided in section"
N.D.C.C. § 61-16.1-34,27944,in,,he manner and subject to the limitations prescribed in section
N.D.C.C. § 61-24.8-22,28155,by,, amount of revenues on deposit in the fund required by section
N.D.C.C. § 61-29-03,28238,in,thirty-four," as the bridge crossing of state highway twenty-two in section thirty-four, range ninety-five west, township o"
N.D.C.C. § 61-35-22,28311,under,the, the department of water resources of a petition under section The department may hold a hearing on the petiti
N.D.C.C. § 61-35-84,28377,in,,he manner and subject to the limitations prescribed in section
N.D.C.C. § 64-03-12,28554,under,destroy,om any weighing or measuring device is delivered under section destroy it or deliver it to the state's attorne
N.D.C.C. § 65-01-15,28574,by,officer,for an exposure to a bloodborne pathogen as defined by section officer who uses tobacco is not eligible for th
N.D.C.C. § 65-02-20,28611,or,, under this section is not subject to chapter 28-32 or section
N.D.C.C. § 65-04-15,28660,of,," except as otherwise allowed by law, is a violation of section"
N.D.C.C. § 65-04-29,28684,under,under,rying on any employment not defined as hazardous under section under this chapter is covered under the fund an
N.D.C.C. § 65-05.1-01,28689,to,,eeks of temporary total disability allowed pursuant to section
N.D.C.C. § 65-05.1-04,28693,of,occupation,riate rehabilitation option under subsection 4 or 6 of section occupation that is suited to the employee's edu
N.D.C.C. § 65-05.1-06.1,28696,of,organization,iority option is subdivision e or f of subsection 4 of section organization may award an additional award. The
N.D.C.C. § 65-05.2-02,28702,under,supplementary, claim has been accepted on an aggravation basis under section supplementary benefit must be proportionally ca
N.D.C.C. § 65-05-01.4,28709,to,,port of notice of injury on its own motion pursuant to section
N.D.C.C. § 65-05-10,28730,in,verified,benefits in cases of catastrophic injury as defined in section verified by clear and convincing objective medi
N.D.C.C. § 65-05-21,28745,of,weeks,"s compensation under the provisions of subsection 1 of section weeks' compensation. If, prior to such marriage"
N.D.C.C. § 65-06.2-08,28777,under,organization, safety and insurance account for state entities under section organization shall determine and the risk manag
N.D.C.C. § 65-08.1-02,28795,with,,uest considered by the budget section must comply with section
